Net Asset Value,Repurchase Price,Sale Price,NAV date
35.671,,,12-Jun-19
35.6967,,,13-Jun-19
35.4199,,,14-Jun-19
34.8617,,,17-Jun-19
34.9679,,,18-Jun-19
34.8405,,,19-Jun-19
35.4176,,,20-Jun-19
35.2035,,,21-Jun-19
35.1884,,,24-Jun-19
35.485,,,25-Jun-19
35.7518,,,26-Jun-19
35.9242,,,27-Jun-19
35.9039,,,28-Jun-19
35.9832,,,01-Jul-19
36.0013,,,02-Jul-19
36.1176,,,03-Jul-19
36.2449,,,04-Jul-19
35.7635,,,05-Jul-19
34.8801,,,08-Jul-19
35.128,,,09-Jul-19
34.7812,,,10-Jul-19
35.1079,,,11-Jul-19
35.1222,,,12-Jul-19
34.9779,,,15-Jul-19
35.3258,,,16-Jul-19
35.3762,,,17-Jul-19
34.8568,,,18-Jul-19
34.3057,,,19-Jul-19
34.2838,,,22-Jul-19
34.1459,,,23-Jul-19
33.791,,,24-Jul-19
33.7742,,,25-Jul-19
33.9265,,,26-Jul-19
33.5609,,,29-Jul-19
32.9941,,,30-Jul-19
33.2956,,,31-Jul-19
32.6758,,,01-Aug-19
32.5016,,,02-Aug-19
32.0871,,,05-Aug-19
32.4313,,,06-Aug-19
31.9151,,,07-Aug-19
32.3232,,,08-Aug-19
32.4004,,,09-Aug-19
31.6614,,,13-Aug-19
32.0206,,,14-Aug-19
32.1043,,,16-Aug-19
32.1299,,,19-Aug-19
31.9209,,,20-Aug-19
31.448,,,21-Aug-19
30.8897,,,22-Aug-19
31.1466,,,23-Aug-19
31.7247,,,26-Aug-19
32.0265,,,27-Aug-19
31.7714,,,28-Aug-19
31.4616,,,29-Aug-19
31.6629,,,30-Aug-19
31.068,,,03-Sep-19
31.278,,,04-Sep-19
31.452,,,05-Sep-19
31.7047,,,06-Sep-19
31.9469,,,09-Sep-19
32.2055,,,11-Sep-19
32.132,,,12-Sep-19
32.4214,,,13-Sep-19
32.1794,,,16-Sep-19
31.424,,,17-Sep-19
31.5937,,,18-Sep-19
31.1712,,,19-Sep-19
33.0687,,,20-Sep-19
34.4455,,,23-Sep-19
34.204,,,24-Sep-19
33.4759,,,25-Sep-19
33.9826,,,26-Sep-19
33.8111,,,27-Sep-19
33.6215,,,30-Sep-19
33.1809,,,01-Oct-19
33.1805,,,03-Oct-19
32.7009,,,04-Oct-19
32.4149,,,07-Oct-19
33.0413,,,09-Oct-19
32.6372,,,10-Oct-19
32.8272,,,11-Oct-19
32.932,,,14-Oct-19
33.118,,,15-Oct-19
33.1556,,,16-Oct-19
33.6085,,,17-Oct-19
33.863,,,18-Oct-19
33.7804,,,22-Oct-19
33.8526,,,23-Oct-19
33.5344,,,24-Oct-19
33.7254,,,25-Oct-19
34.5236,,,29-Oct-19
34.8075,,,30-Oct-19
35.0435,,,31-Oct-19
35.1126,,,01-Nov-19
35.232,,,04-Nov-19
35.0717,,,05-Nov-19
35.1916,,,06-Nov-19
35.1455,,,07-Nov-19
34.7049,,,08-Nov-19
34.8755,,,11-Nov-19
34.5285,,,13-Nov-19
34.5009,,,14-Nov-19
34.7341,,,15-Nov-19
34.929,,,18-Nov-19
35.1856,,,19-Nov-19
35.3279,,,20-Nov-19
35.1466,,,21-Nov-19
34.9966,,,22-Nov-19
35.4785,,,25-Nov-19
35.3106,,,26-Nov-19
35.4703,,,27-Nov-19
35.6331,,,28-Nov-19
35.3877,,,29-Nov-19
35.2953,,,02-Dec-19
34.9931,,,03-Dec-19
35.2396,,,04-Dec-19
34.9972,,,05-Dec-19
34.5526,,,06-Dec-19
34.5774,,,09-Dec-19
34.2812,,,10-Dec-19
34.3883,,,11-Dec-19
34.7489,,,12-Dec-19
35.2676,,,13-Dec-19
35.1234,,,16-Dec-19
35.5569,,,17-Dec-19
35.5122,,,18-Dec-19
35.5833,,,19-Dec-19
35.6998,,,20-Dec-19
35.621,,,23-Dec-19
35.5024,,,24-Dec-19
35.2878,,,26-Dec-19
35.7847,,,27-Dec-19
35.8482,,,30-Dec-19
35.6796,,,31-Dec-19
35.6858,,,01-Jan-20
36.1377,,,02-Jan-20
35.9707,,,03-Jan-20
35.1556,,,06-Jan-20
35.2545,,,07-Jan-20
35.1369,,,08-Jan-20
35.7708,,,09-Jan-20
35.9135,,,10-Jan-20
36.1089,,,13-Jan-20
36.2281,,,14-Jan-20
36.1964,,,15-Jan-20
36.1977,,,16-Jan-20
36.212,,,17-Jan-20
35.9759,,,20-Jan-20
35.7883,,,21-Jan-20
35.6279,,,22-Jan-20
35.998,,,23-Jan-20
36.2147,,,24-Jan-20
35.8096,,,27-Jan-20
35.6106,,,28-Jan-20
35.8465,,,29-Jan-20
35.5893,,,30-Jan-20
35.3477,,,31-Jan-20
34.1539,,,03-Feb-20
34.9771,,,04-Feb-20
35.5603,,,05-Feb-20
35.8854,,,06-Feb-20
35.8841,,,07-Feb-20
35.5148,,,10-Feb-20
35.8368,,,11-Feb-20
35.789,,,12-Feb-20
35.7482,,,13-Feb-20
35.5101,,,14-Feb-20
35.2044,,,17-Feb-20
35.0939,,,18-Feb-20
35.3972,,,19-Feb-20
35.5293,,,20-Feb-20
34.7607,,,24-Feb-20
34.5919,,,25-Feb-20
34.2166,,,26-Feb-20
34.0115,,,27-Feb-20
32.816,,,28-Feb-20
32.4,,,02-Mar-20
32.9352,,,03-Mar-20
32.605,,,04-Mar-20
32.6535,,,05-Mar-20
31.8089,,,06-Mar-20
30.3971,,,09-Mar-20
30.0294,,,11-Mar-20
27.324,,,12-Mar-20
28.6686,,,13-Mar-20
26.7768,,,16-Mar-20
26.1828,,,17-Mar-20
25.0542,,,18-Mar-20
24.2778,,,19-Mar-20
25.2847,,,20-Mar-20
22.0079,,,23-Mar-20
22.3603,,,24-Mar-20
23.2978,,,25-Mar-20
24.1566,,,26-Mar-20
24.0591,,,27-Mar-20
23.1793,,,30-Mar-20
24.166,,,31-Mar-20
23.2848,,,01-Apr-20
23.2848,,,01-Apr-20
22.8692,,,03-Apr-20
22.8692,,,03-Apr-20
24.4772,,,07-Apr-20
24.4772,,,07-Apr-20
24.5687,,,08-Apr-20
24.5687,,,08-Apr-20
25.5052,,,09-Apr-20
25.5052,,,09-Apr-20
25.4085,,,13-Apr-20
25.4085,,,13-Apr-20
25.4891,,,15-Apr-20
25.4891,,,15-Apr-20
25.7897,,,16-Apr-20
25.7897,,,16-Apr-20
26.4845,,,17-Apr-20
26.4845,,,17-Apr-20
26.5161,,,20-Apr-20
26.5161,,,20-Apr-20
25.6429,,,21-Apr-20
25.6429,,,21-Apr-20
25.8695,,,22-Apr-20
25.8695,,,22-Apr-20
25.9908,,,23-Apr-20
25.9908,,,23-Apr-20
25.5198,,,24-Apr-20
25.5198,,,24-Apr-20
25.7229,,,27-Apr-20
25.7229,,,27-Apr-20
25.8437,,,28-Apr-20
25.8437,,,28-Apr-20
26.3482,,,29-Apr-20
26.3482,,,29-Apr-20
27.2413,,,30-Apr-20
27.2413,,,30-Apr-20
25.7606,,,04-May-20
25.7606,,,04-May-20
25.4368,,,05-May-20
25.4368,,,05-May-20
25.4466,,,06-May-20
25.4466,,,06-May-20
25.1706,,,07-May-20
25.1706,,,07-May-20
25.0515,,,08-May-20
25.0515,,,08-May-20
