"company_name","count"
"Max Healthcare Institute Ltd.","4"
"Persistent Systems Ltd.","4"
"Dixon Technologies (India) Ltd.","4"
"The Federal Bank Ltd.","4"
"Indian Bank","3"
"Balkrishna Industries Ltd.","3"
"Aurobindo Pharma Ltd.","3"
"Max Financial Services Ltd.","3"
"Coforge Ltd.","3"
"Voltas Ltd.","3"
"Cummins India Ltd.","3"
"IPCA Laboratories Ltd.","3"
"Bharat Electronics Ltd.","3"
"Cholamandalam Investment & Finance Co. Ltd.","2"
"AU Small Finance Bank Ltd.","2"
"Solar Industries India Ltd.","2"
"Union Bank of India","2"
"BSE Ltd.","2"
"Trent Ltd.","2"
"Endurance Technologies Ltd.","2"
"Container Corporation of India Ltd.","2"
"Power Finance Corporation Ltd.","2"
"The Indian Hotels Company Ltd.","2"
"NMDC Ltd.","2"
"Supreme Industries Ltd.","2"
"Dalmia Bharat Ltd.","2"
"Zomato Ltd.","2"
"PB Fintech Ltd.","2"
"Cholamandalam Financial Holdings Ltd.","2"
"Mahindra & Mahindra Financial Services Ltd.","2"
"Apollo Tyres Ltd.","2"
"Samvardhana Motherson International Ltd.","2"
"REC Ltd.","2"
"Prestige Estates Projects Ltd.","2"
"Hindustan Aeronautics Ltd.","2"
"Indian Hotels Company Ltd.","2"
"Fortis Healthcare Ltd.","2"
"Jindal Steel & Power Ltd.","1"
"Bharti Hexacom Ltd.","1"
"Sundaram Fasteners Ltd.","1"
"Navneet Education Ltd.","1"
"Astral Limited","1"
"Tube Investments of India Ltd.","1"
"Atul Ltd.","1"
"Timken India Ltd.","1"
"JSW Energy Ltd.","1"
"Symphony Ltd.","1"
"Poonawalla Fincorp Ltd.","1"
"Aarti Industries Ltd.","1"
"Angel One Limited","1"
"Rail Vikas Nigam Ltd.","1"
"Varun Beverages Limited","1"
"United Breweries Ltd.","1"
"Dhanuka Agritech Ltd.","1"
"The Phoenix Mills Ltd.","1"
"ZF Commercial Vehicle Control Systems India Ltd.","1"
"Arvind Limited","1"
"Glenmark Pharmaceuticals Ltd.","1"
"Suzlon Energy Ltd.","1"
"Angel One Ltd.","1"
"Dilip Buildcon Ltd.","1"
"HDFC Bank Ltd.","1"
"Marico Ltd.","1"
"TIPS Industries Ltd.","1"
"Schaeffler India Ltd.","1"
"AIA Engineering Ltd.","1"
"Bharat Dynamics Ltd.","1"
"Greenlam Industries Ltd.","1"
"Mahindra Holidays & Resorts Ind Ltd.","1"
"Karur Vysya Bank Ltd.","1"
"Greenpanel Industries Ltd.","1"
"Sundaram Finance Ltd.","1"
"ACC Ltd.","1"
"SKF India Ltd.","1"
"GUJARAT FLUOROCHEMICALS LIMITED","1"
"JB Chemicals & Pharmaceuticals Ltd.","1"
"Bharat Forge Ltd.","1"
"Aditya Birla Fashion and Retail Limited","1"
"Tata Chemicals Ltd.","1"
"Emami Ltd.","1"
"VST Industries Ltd.","1"
"NTPC Ltd.","1"
"Reliance Industries Ltd.","1"
"Kajaria Ceramics Ltd.","1"
"Indus Towers Ltd.","1"
"Motherson Sumi Wiring India Ltd.","1"
"SJVN Ltd.","1"
"NHPC Ltd.","1"
"KEC International Ltd.","1"
"JK Cement Ltd.","1"
"Crompton Greaves Consumer Electricals Ltd.","1"
"Steel Authority of India Ltd.","1"
"Godrej Properties Ltd.","1"
"APL Apollo Tubes Ltd.","1"
"Oracle Financial Services Software Ltd.","1"
"Vodafone Idea Ltd.","1"
"Greenply Industries Ltd.","1"
"Polycab India Ltd.","1"
"Jagran Prakashan Ltd.","1"
"Tata Communications Limited","1"
"Sona Blw Precision Forgings Ltd.","1"
"Torrent Power Ltd.","1"
"KPIT Technologies Ltd.","1"
"Alkem Laboratories Ltd.","1"
"Kalyan Jewellers India Ltd.","1"
"Ashok Leyland Ltd.","1"
"Interglobe Aviation Ltd.","1"
"ESCORTS LTD.","1"
"Adani Power Ltd.","1"
"Indus Towers Limited","1"
"TVS Motor Company Ltd.","1"
"Redington Ltd.","1"
"Jio Financial Services Ltd.","1"
"Mphasis Ltd","1"
"Ajanta Pharma Ltd.","1"
"Vardhman Textiles Ltd.","1"
"Nippon Life India Asset Management Ltd.","1"
"CG Power and Industrial Solutions Ltd.","1"
"Hindustan Petroleum Corporation Ltd.","1"
"Vesuvius India Ltd.","1"
"Info Edge (India) Ltd.","1"
"Delta Corp Ltd.","1"
"Deepak Nitrite Ltd.","1"
"UNO Minda Ltd.","1"
"KNR Constructions Ltd.","1"
"Gland Pharma Ltd.","1"
"Linde India Ltd.","1"
"Zee Entertainment Enterprises Ltd.","1"
"City Union Bank Ltd.","1"
"Lupin Ltd.","1"
"Page Industries Ltd.","1"
"Five-Star Business Finance Limited","1"
