fund_type,fund_name,monthly_aum
LargeCap,Baroda BNP Paridas Large Cap Fund,45766.41
LargeCap,Canera Robeco Bluechip Equity Fund,12976.74
LargeCap,Dsp Nifty50 Equal weight_index_fund,1409
LargeCap,Edelweiss_LargeCap_June_2024,896.3
LargeCap,HDFC Top 100 fund,33170.08
LargeCap,JM LargeCap fund,191.85
LargeCap,Kotak BleChip Fund,8199.81
LargeCap,Quant Focused Fund,0
LargeMidCap,HDFC LargeMidCap,18691.62
LargeMidCap,ICICI Pru LargeMidCap Fund,12786.33
LargeMidCap,Kotak Equity Opportunities Fund,22329.12
LargeMidCap,Motilal Oswal LargeMidCap Fund,4293
LargeMidCap,SBI Large Midcap Fund,22699.69
MidCap,Edelweiss MidCapFund,5865.68
MidCap,HDFC MidCap Opportunities Fund,63413.49
MidCap,Kotak Emerging Equity Fund,45017.71
MidCap,Motilal Oswal MidCap Fund,10378.16
MidCap,NipponIndia MidCap,27931.43
MidCap,Quant MidCap Fund,0
MidCap,SBI Magnum Midca Fund,18402.33
LargeCap,ICICI pru bluechip fund,53866.34
LargeCap,SBI Bluechip Fund,54904.23
SmallCap,Axis SmallCap Fund,20504.37
SmallCap,Edelweiss SmallCap Fund,3422.69
SmallCap,ICICI Pru SmallCap Fund,7658.95
SmallCap,NipponIndia SmallCap Fund,51566.11
SmallCap,Tata SmallCap Fund,7050.61
FlexiCap,360ONE Focused Equity Fund,7228.32
FlexiCap,Bank of India FlexiCap Fund,991.78
FlexiCap,Franklin India Flexi Cap Fund,15468.09
FlexiCap,Franklin India Focused Equity Fund,11442.54
FlexiCap,HDFC FlexiCap Fund,52874.12
FlexiCap,HDFC Focused Fund,11246.61
FlexiCap,HDFC Requirement Saving Fund,5044.1
FlexiCap,ICICI Pru Focused Equity Fund,7872.07
FlexiCap,ICICI Pru Retirement Fund,729.8
FlexiCap,JM FlexiCap Fund,2472.06
FlexiCap,Union Flexi Cap Fund,2051.3
